"datacenter","county","operator","voltage_kv","transmission_owner","distance_km"
"SDC Austin Campus","Williamson","Sabey Data Center Properties LLC","138","ONCOR ELECTRIC DELIVERY CO.","7.41"
"Skybox Austin","Travis","Skybox Datacenters","138","ONCOR ELECTRIC DELIVERY CO.","8.30"
"DataBank AUS1 - Austin","Williamson","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","7.51"
"SDC Austin - Building B","Williamson","Sabey Data Center Properties LLC","138","ONCOR ELECTRIC DELIVERY CO.","7.60"
"Switch THE ROCK Campus","Williamson","Switch","138","ONCOR ELECTRIC DELIVERY CO.","6.44"
"SDC Austin - Building A","Williamson","Sabey Data Center Properties LLC","138","ONCOR ELECTRIC DELIVERY CO.","7.40"
"Lumen Austin 2","Travis","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","2.17"
"1001 Texas Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.72"
"Netrality - 1301 Fannin","Harris","Netrality Houston - Data Sheet.pdf","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","2.33"
"DataBank HOU5 - Houston Galleria","Harris","HOU5 datasheet.pdf","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.24"
"Quasar Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.72"
"Crown Castle Houston (TX1)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.73"
"Data Foundry - Houston 1","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.40"
"LOGIX Houston #2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.78"
"24 Hour Data Houston","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.88"
"Verizon Houston","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.92"
"ECL TerraSite-TX1","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.81"
"Energy Transfer Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.05"
"Lumen Houston 3","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.25"
"LOGIX Houston #3","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.81"
"Evocative - INAP Houston","Harris","Evocative Data Centers","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","2.40"
"IBM HOU04","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.38"
"Lumen, 1124 Hardy Rd","Harris","Lumen","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.03"
"NaviSite Houston","Harris","NaviSite, Inc.","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","2.41"
"TeleSource IDC","Harris","TeleSource Communications Inc.","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","2.40"
"DataBank HOU1 - Westway Park I","Harris","HOU1 datasheet.pdf","345","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.98"
"DataBank HOU3 - Westway Park III","Harris","HOU3 datasheet.pdf","345","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.41"
"DataBank HOU2 - Westway Park II","Harris","HOU2 datasheet.pdf","345","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.83"
"Cogent Data Center - Houston 2","Harris","Follow on LinkedIn","345","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","4.66"
"Serverfarm Houston Data Center CTX2","Harris","Follow on LinkedIn","345","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.37"
"Hostrunway Houston","Harris","Follow on LinkedIn","345","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","3.08"
"Serverfarm Houston Data Center CTX1","Harris","Serverfarm","345","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.44"
"Lumen Houston 2","Harris","Lumen","345","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","2.81"
"CyrusOne HOU4 - Houston","Harris","CyrusOne Data Centers","345","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.63"
"CyrusOne HOU3 - Houston","Harris","CyrusOne Data Centers","345","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","1.42"
"Lighthouse Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.12"
"Data Foundry - Houston 1","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.83"
"Hostrunway Houston","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.70"
"Lumen, 3939 Corporate Dr","Harris","Lumen","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","2.21"
"Comcast Willis","Montgomery","Follow on LinkedIn","138","ENTERGY TEXAS, INC.","0.71"
"DataBank ACT1 - Waco","McLennan","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","6.83"
"12231 North Fwy (IAH13)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.40"
"12235 North Fwy (IAH14)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.47"
"12061 North Freeway (IAH11)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.39"
"Digital Houston Campus","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.37"
"12001 North Fwy (IAH10)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.28"
"Data Foundry- Houston 2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.85"
"DataBank HOU1 - Westway Park I","Harris","HOU1 datasheet.pdf","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.03"
"DataBank HOU3 - Westway Park III","Harris","HOU3 datasheet.pdf","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.44"
"Cogent Data Center - Houston","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.57"
"DataBank HOU2 - Westway Park II","Harris","HOU2 datasheet.pdf","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.14"
"FIBERTOWN - Houston, Texas","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.49"
"Serverfarm Houston Data Center CTX2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.34"
"Lumen Houston 1","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.40"
"Serverfarm Houston Data Center CTX1","Harris","Serverfarm","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.46"
"IBM HOU00","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.49"
"IBM HOU02","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.20"
"Lumen Houston 2","Harris","Lumen","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.08"
"CyrusOne HOU4 - Houston","Harris","CyrusOne Data Centers","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.28"
"CyrusOne HOU3 - Houston","Harris","CyrusOne Data Centers","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.44"
"Core Scientific Denton","Denton","Core Scientific","138","ONCOR ELECTRIC DELIVERY CO.","7.06"
"EdgeConneX Houston","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.13"
"Skybox Houston One","Harris","Houston One Brochure","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.41"
"LOGIX Houston #1","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","8.93"
"Skybox PowerCampus Dallas","Dallas","Skybox Datacenters","345","ONCOR ELECTRIC DELIVERY CO.","7.56"
"Compass Red Oak - 300 Houston School Rd","Ellis","Compass Datacenters","345","ONCOR ELECTRIC DELIVERY CO.","4.33"
"Yondr Lancaster","Dallas","Yondr Group","345","ONCOR ELECTRIC DELIVERY CO.","3.07"
"Datacenter Park - Dallas","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","1.24"
"Digital Realty Garland Campus","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","5.22"
"908 Quality Way (DFW20)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","1.16"
"904 Quality Way (DFW21)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","1.21"
"1702 W Campbell Rd","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","5.22"
"1502 Ferris Rd","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","5.18"
"1505 Ferris Rd","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","5.07"
"GDC - Dallas TX1 Data Center","Dallas","Dallas TX1 Data Center","138","ONCOR ELECTRIC DELIVERY CO.","4.96"
"DataBank DFW2 - North Dallas","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","1.21"
"Evocative DAL6","Collin","Evocative Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.83"
"365 Data Centers - Richardson","Dallas","365 Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","2.10"
"GDC - Dallas TX2 Data Center","Dallas","NTT DATA, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","4.81"
"GDC - Dallas TX4 Data Center","Dallas","NTT DATA, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","4.69"
"Aligned DFW-01","Collin","Aligned Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","6.25"
"DataBank DFW7 - Dallas LBJ","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","7.34"
"Rackspace Dallas 2","Dallas","Rackspace Hosting","138","ONCOR ELECTRIC DELIVERY CO.","1.35"
"Evocative DAL1","Collin","Evocative Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","6.25"
"24 Hour Data Plano","Collin","24 Hour Data","138","ONCOR ELECTRIC DELIVERY CO.","5.68"
"GDC - Dallas TX3 Data Center","Dallas","NTT DATA, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","4.72"
"GIPNetworks Plano","Collin","Plano Data Center | Global IP Networks","138","ONCOR ELECTRIC DELIVERY CO.","6.37"
"CoreWeave Plano","Collin","CoreWeave","138","ONCOR ELECTRIC DELIVERY CO.","8.49"
"DigiCo Dallas DAL1","Dallas","DigiCo Infrastructure REIT","138","ONCOR ELECTRIC DELIVERY CO.","3.04"
"KDC Richardson","Dallas","KDC","138","ONCOR ELECTRIC DELIVERY CO.","3.07"
"Aligned DFW-02","Collin","Aligned Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","6.25"
"Skybox Atlantic Station","Collin","Skybox Datacenters","138","ONCOR ELECTRIC DELIVERY CO.","6.33"
"CyrusOne DFW6 - Richardson","Dallas","CyrusOne Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","3.07"
"NTT Garland Campus","Dallas","NTT DATA, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","4.78"
"Aligned DFW-04","Collin","Aligned Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","6.83"
"1000 Coit Road","Collin","Lincoln Rackhouse","138","ONCOR ELECTRIC DELIVERY CO.","8.55"
"H5Colo  Inc.","Dallas","H5 Colo Inc.","138","ONCOR ELECTRIC DELIVERY CO.","6.03"
"1232 Alma Road (DFW16)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","1.46"
"850 E. Collins Boulevard (DFW28)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","1.49"
"900 Quality Way (DFW17)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","1.41"
"1210 Integrity Drive (DFW18)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","1.40"
"1215 Integrity Drive (DFW25)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","1.24"
"950 E. Collins Boulevard (DFW29)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","1.28"
"Flexential Dallas - Plano Data Center","Collin","Flexential","138","ONCOR ELECTRIC DELIVERY CO.","6.52"
"907 Security Row (DFW35)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","1.03"
"Flexential Dallas - Richardson Data Center","Collin","Flexential","138","ONCOR ELECTRIC DELIVERY CO.","6.35"
"Plano Campus","Collin","Aligned Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","6.25"
"IBM DAL07","Collin","IBM","138","ONCOR ELECTRIC DELIVERY CO.","5.88"
"Cisco Richardson Data Center","Collin","Cisco Systems","138","ONCOR ELECTRIC DELIVERY CO.","5.20"
"DataBank DFW3 - Plano","Collin","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","5.05"
"Equinix DA7","Collin","Equinix","138","ONCOR ELECTRIC DELIVERY CO.","7.40"
"Stream DC DFW VII - Garland	","Collin","Stream Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","5.81"
"Resilience DFW","Collin","Overwatch Capital","138","ONCOR ELECTRIC DELIVERY CO.","6.22"
"STACK Infrastructure DFW01A","Collin","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","7.38"
"STACK Infrastructure DFW01B","Collin","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","7.20"
"DataBank DFW8 - Plano","Collin","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","5.05"
"STACK Infrastructure DFW01C","Collin","STACK INFRASTRUCTURE","138","ONCOR ELECTRIC DELIVERY CO.","7.17"
"Skybox Legacy Campus","Collin","Skybox Datacenters","138","ONCOR ELECTRIC DELIVERY CO.","6.17"
"2501 S. State Highway 121 (DFW26)","Denton","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","9.43"
"Datacenter Park - Dallas","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","6.71"
"Digital Realty Garland Campus","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","4.11"
"908 Quality Way (DFW20)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","6.57"
"904 Quality Way (DFW21)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","6.64"
"1702 W Campbell Rd","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","4.11"
"1502 Ferris Rd","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","4.44"
"1505 Ferris Rd","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","4.33"
"GDC - Dallas TX1 Data Center","Dallas","Dallas TX1 Data Center","138","ONCOR ELECTRIC DELIVERY CO.","3.53"
"CyrusOne DFW3 - Allen","Collin","DFW3 Spec Sheet","138","ONCOR ELECTRIC DELIVERY CO.","8.95"
"Tierpoint Dallas-Allen","Collin","DA2 Spec Sheet","138","ONCOR ELECTRIC DELIVERY CO.","8.72"
"DataBank DFW2 - North Dallas","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","6.64"
"Centersquare - Dallas DFW2-A","Collin","Centersquare","138","ONCOR ELECTRIC DELIVERY CO.","3.92"
"Evocative DAL6","Collin","Evocative Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.05"
"365 Data Centers - Richardson","Dallas","365 Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","5.67"
"GDC - Dallas TX2 Data Center","Dallas","NTT DATA, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","3.52"
"GDC - Dallas TX4 Data Center","Dallas","NTT DATA, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","3.70"
"ScaleMatrix Dallas","Collin","ScaleMatrix","138","ONCOR ELECTRIC DELIVERY CO.","8.79"
"Aligned DFW-01","Collin","Aligned Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.06"
"Rackspace Dallas 2","Dallas","Rackspace Hosting","138","ONCOR ELECTRIC DELIVERY CO.","7.04"
"Evocative DAL1","Collin","Evocative Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.06"
"24 Hour Data Plano","Collin","24 Hour Data","138","ONCOR ELECTRIC DELIVERY CO.","3.43"
"GDC - Dallas TX3 Data Center","Dallas","NTT DATA, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","3.49"
"GIPNetworks Plano","Collin","Plano Data Center | Global IP Networks","138","ONCOR ELECTRIC DELIVERY CO.","1.63"
"CoreWeave Plano","Collin","CoreWeave","138","ONCOR ELECTRIC DELIVERY CO.","7.98"
"DigiCo Dallas DAL1","Dallas","DigiCo Infrastructure REIT","138","ONCOR ELECTRIC DELIVERY CO.","4.36"
"KDC Richardson","Dallas","KDC","138","ONCOR ELECTRIC DELIVERY CO.","4.23"
"Aligned DFW-02","Collin","Aligned Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.06"
"Skybox Atlantic Station","Collin","Skybox Datacenters","138","ONCOR ELECTRIC DELIVERY CO.","7.12"
"CyrusOne DFW6 - Richardson","Dallas","CyrusOne Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","4.23"
"NTT Garland Campus","Dallas","NTT DATA, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","3.66"
"Aligned DFW-04","Collin","Aligned Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.06"
"1000 Coit Road","Collin","Lincoln Rackhouse","138","ONCOR ELECTRIC DELIVERY CO.","7.83"
"1232 Alma Road (DFW16)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","6.92"
"850 E. Collins Boulevard (DFW28)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","6.65"
"900 Quality Way (DFW17)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","6.69"
"1210 Integrity Drive (DFW18)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","6.83"
"1215 Integrity Drive (DFW25)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","6.99"
"950 E. Collins Boulevard (DFW29)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","6.53"
"Flexential Dallas - Plano Data Center","Collin","Flexential","138","ONCOR ELECTRIC DELIVERY CO.","0.47"
"907 Security Row (DFW35)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","6.83"
"Flexential Dallas - Richardson Data Center","Collin","Flexential","138","ONCOR ELECTRIC DELIVERY CO.","8.69"
"Plano Campus","Collin","Aligned Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","1.06"
"Cisco Allen Data Center","Collin","Cisco Systems","138","ONCOR ELECTRIC DELIVERY CO.","8.45"
"IBM DAL07","Collin","IBM","138","ONCOR ELECTRIC DELIVERY CO.","2.22"
"CyrusOne DFW5 - Allen","Collin","CyrusOne Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","9.19"
"CyrusOne DFW4 - Allen","Collin","CyrusOne Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","8.99"
"Cisco Richardson Data Center","Collin","Cisco Systems","138","ONCOR ELECTRIC DELIVERY CO.","1.84"
"IRVING-TX (Dallas, Texas)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","9.68"
"Edged Dallas-Fort Worth DFW01","Dallas","Edged Energy","138","ONCOR ELECTRIC DELIVERY CO.","9.97"
"QTS Irving Campus","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","9.95"
"Centersquare - Dallas DFW1","Tarrant","Centersquare","138","ONCOR ELECTRIC DELIVERY CO.","2.42"
"QTS Irving DC1 & DC2","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","9.96"
"QTS Irving DC3","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","9.83"
"QTS Irving DC5","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","9.99"
"QTS Irving DC6","Dallas","QTS Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","9.99"
"Skybox PowerCampus Dallas","Dallas","Skybox Datacenters","138","ONCOR ELECTRIC DELIVERY CO.","7.56"
"Compass Red Oak - 300 Houston School Rd","Ellis","Compass Datacenters","138","ONCOR ELECTRIC DELIVERY CO.","4.33"
"Yondr Lancaster","Dallas","Yondr Group","138","ONCOR ELECTRIC DELIVERY CO.","3.11"
"Thin-nology Data Center","Travis","Thin-nology LLC","138","ONCOR ELECTRIC DELIVERY CO.","9.30"
"SDC Austin Campus","Williamson","Sabey Data Center Properties LLC","138","ONCOR ELECTRIC DELIVERY CO.","7.41"
"Skybox Austin","Travis","Skybox Datacenters","138","ONCOR ELECTRIC DELIVERY CO.","8.30"
"DataBank AUS1 - Austin","Williamson","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","7.51"
"SDC Austin - Building B","Williamson","Sabey Data Center Properties LLC","138","ONCOR ELECTRIC DELIVERY CO.","7.60"
"Switch THE ROCK Campus","Williamson","Switch","138","ONCOR ELECTRIC DELIVERY CO.","6.44"
"SDC Austin - Building A","Williamson","Sabey Data Center Properties LLC","138","ONCOR ELECTRIC DELIVERY CO.","7.40"
"Lumen Austin 2","Travis","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","2.17"
"Duos Edge AI - Pampa","Gray","Duos Edge AI, Inc.","230","SOUTHWESTERN PUBLIC SERVICE CO.","1.08"
"CyrusOne DFW10 - Whitney","Bosque","CyrusOne Data Centers","345","ONCOR ELECTRIC DELIVERY CO.","0.15"
"Centersquare - Dallas DFW1","Tarrant","Centersquare","138","ONCOR ELECTRIC DELIVERY CO.","8.10"
"Cogent Data Center - Fort Worth","Tarrant","Cogent Communications, Inc.","138","ONCOR ELECTRIC DELIVERY CO.","2.82"
"Enterhost Data Center","Tarrant","Consuro Managed Technology","138","ONCOR ELECTRIC DELIVERY CO.","1.29"
"Lumen Fort Worth 1","Tarrant","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","1.88"
"Lumen Fort Worth 2","Tarrant","Lumen","138","ONCOR ELECTRIC DELIVERY CO.","1.50"
"LOGIX Fort Worth","Tarrant","LOGIX FIBER NETWORKS","138","ONCOR ELECTRIC DELIVERY CO.","1.23"
"1001 Texas Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.61"
"Netrality - 1301 Fannin","Harris","Netrality Houston - Data Sheet.pdf","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.91"
"Quasar Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.61"
"Crown Castle Houston (TX1)","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.00"
"LOGIX Houston #2","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.00"
"24 Hour Data Houston","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.69"
"ECL TerraSite-TX1","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","7.35"
"Energy Transfer Data Center","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","9.84"
"Lumen Houston 3","Harris","Follow on LinkedIn","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","4.51"
"Evocative - INAP Houston","Harris","Evocative Data Centers","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.89"
"IBM HOU04","Harris","IBM","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","6.29"
"Lumen, 1124 Hardy Rd","Harris","Lumen","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","4.93"
"NaviSite Houston","Harris","NaviSite, Inc.","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.90"
"TeleSource IDC","Harris","TeleSource Communications Inc.","138","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC","5.89"
"Datacenter Park - Dallas","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","6.95"
"908 Quality Way (DFW20)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","7.10"
"904 Quality Way (DFW21)","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","7.03"
"Centersquare - Dallas DFW3-A","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","9.60"
"Alpha Data Center","Dallas","Follow on LinkedIn","138","ONCOR ELECTRIC DELIVERY CO.","6.52"
"DataBank DFW2 - North Dallas","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","7.02"
"365 Data Centers - Richardson","Dallas","365 Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","7.99"
"Serverphase Data Center","Dallas","M&A Technology Inc.","138","ONCOR ELECTRIC DELIVERY CO.","9.06"
"DataBank DFW7 - Dallas LBJ","Dallas","DataBank","138","ONCOR ELECTRIC DELIVERY CO.","2.32"
"Rackspace Dallas 2","Dallas","Rackspace Hosting","138","ONCOR ELECTRIC DELIVERY CO.","6.62"
"DigiCo Dallas DAL1","Dallas","DigiCo Infrastructure REIT","138","ONCOR ELECTRIC DELIVERY CO.","9.31"
"Neutron Data Center","Dallas","M&A Technology Inc.","138","ONCOR ELECTRIC DELIVERY CO.","6.52"
"KDC Richardson","Dallas","KDC","138","ONCOR ELECTRIC DELIVERY CO.","9.43"
"Skybox Atlantic Station","Collin","Skybox Datacenters","138","ONCOR ELECTRIC DELIVERY CO.","9.61"
"CyrusOne DFW6 - Richardson","Dallas","CyrusOne Data Centers","138","ONCOR ELECTRIC DELIVERY CO.","9.43"
"H5Colo  Inc.","Dallas","H5 Colo Inc.","138","ONCOR ELECTRIC DELIVERY CO.","1.06"
"1232 Alma Road (DFW16)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","6.74"
"850 E. Collins Boulevard (DFW28)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","7.01"
"900 Quality Way (DFW17)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","6.97"
"1210 Integrity Drive (DFW18)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","6.83"
"1215 Integrity Drive (DFW25)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","6.67"
"950 E. Collins Boulevard (DFW29)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","7.14"
"4849 Alpha Road (DFW14)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","5.95"
"907 Security Row (DFW35)","Dallas","Digital Realty","138","ONCOR ELECTRIC DELIVERY CO.","6.84"
"Flexential Dallas - Richardson Data Center","Collin","Flexential","138","ONCOR ELECTRIC DELIVERY CO.","8.25"
"IBM DAL05","Dallas","IBM","138","ONCOR ELECTRIC DELIVERY CO.","5.95"
