,period,plantid,plantName,balancing-authority-name,entityid,entityName,county,geometry,Solar Region,Wind Region,nameplate-capacity-mw,net-summer-capacity-mw,net-winter-capacity-mw,Coal_gen_total,Distillate Fuel Oil_gen_total,Hydroelectric Conventional_gen_total,Municiapl Landfill Gas_gen_total,Natural Gas_gen_total,Nuclear_gen_total,Other_gen_total,Other Gases_gen_total,Petroleum Coke_gen_total,Residual Fuel Oil_gen_total,Solar_gen_total,Waste Oil and Other Oils_gen_total,Wind_gen_total,Wood Waste Solids_gen_total,other renewables_gen_total,total_generation,Coal_gen_pct,Distillate Fuel Oil_gen_pct,Hydroelectric Conventional_gen_pct,Municiapl Landfill Gas_gen_pct,Natural Gas_gen_pct,Nuclear_gen_pct,Other_gen_pct,Other Gases_gen_pct,Petroleum Coke_gen_pct,Residual Fuel Oil_gen_pct,Solar_gen_pct,Waste Oil and Other Oils_gen_pct,Wind_gen_pct,Wood Waste Solids_gen_pct,other renewables_gen_pct
11,2022-07,10692,ExxonMobil Baytown Turbine,"Electric Reliability Council of Texas, Inc.",6091,Exxon Mobil Refining and Supply Co.,Harris,POINT (-95.009648 29.759124),FarEast,South,14126.6,11285.0,13841.7,0.0,0.0,0.0,0.0,424292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424292.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2022-07,10789,Sabine River Operations,"Midcontinent Independent Transmission System Operator, Inc..",57160,The Dow Chemical Company,Orange,POINT (-93.7579 30.0552),FarEast,Coastal,22122.9,18664.0,20366.0,0.0,0.0,0.0,0.0,545385.2,0.0,0.0,698.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546084.0199999999,0.0,0.0,0.0,0.0,99.87203068128602,0.0,0.0,0.12796931871399572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2022-07,10790,Victoria Texas Plant,"Electric Reliability Council of Texas, Inc.",50006,Invista,Victoria,POINT (-96.956014 28.675088),SouthEast,South,3788.8,2775.0,3256.0,0.0,0.0,0.0,0.0,133538.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133538.82,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2022-07,298,Limestone,"Electric Reliability Council of Texas, Inc.",54888,NRG Texas Power LLC,Limestone,POINT (-96.2525 31.4219),FarEast,North,68442.6,61594.0,61594.0,1797349.34,0.0,0.0,0.0,252.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1797602.0,99.98594460842834,0.0,0.0,0.0,0.014055391571660468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2022-07,3437,Eagle Pass,"Electric Reliability Council of Texas, Inc.",54683,Maverick Cty Water Control & Improvement,Maverick,POINT (-100.552234 28.829535),SouthEast,South,355.2,222.0,222.0,0.0,0.0,8480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8480.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2022-07,3439,Laredo,"Electric Reliability Council of Texas, Inc.",49979,"Talen Texas, LLC",Webb,POINT (-99.5089 27.5667),SouthEast,South,9753.2,6563.8,7096.6,0.0,0.0,0.0,0.0,10317.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10317.32,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2022-07,3441,Nueces Bay,"Electric Reliability Council of Texas, Inc.",49979,"Talen Texas, LLC",Nueces,POINT (-97.419203 27.819412),SouthEast,Coastal,27017.4,23421.0,24235.0,0.0,0.0,0.0,0.0,437228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437228.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2022-07,3443,Victoria,"Electric Reliability Council of Texas, Inc.",60638,"Victoria WLE, LP",Victoria,POINT (-97.01 28.7883),SouthEast,South,13945.3,10656.0,10656.0,0.0,0.0,0.0,0.0,274928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274928.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2022-07,3452,Lake Hubbard,"Electric Reliability Council of Texas, Inc.",55983,Luminant Generation Company LLC,Dallas,POINT (-96.5458 32.8358),CenterEast,North,34317.5,33855.0,33855.0,0.0,0.0,0.0,0.0,224432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224432.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2022-07,3453,Mountain Creek,"Electric Reliability Council of Texas, Inc.",62026,"Mountain Creek Power, LLC",Dallas,POINT (-96.9358 32.7231),CenterEast,North,31531.4,30004.0,30004.0,0.0,0.0,0.0,0.0,373382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373382.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2022-07,3456,Newman,El Paso Electric Company,5701,El Paso Electric Co,El Paso,POINT (-106.431777 31.983587),FarWest,West,37190.0,30567.0,31936.0,0.0,0.0,0.0,0.0,680562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680562.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2022-07,3457,Lewis Creek,"Midcontinent Independent Transmission System Operator, Inc..",55937,Entergy Texas Inc.,Montgomery,POINT (-95.5214 30.4356),FarEast,South,20083.6,18496.4,18677.2,0.0,0.0,0.0,0.0,488904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488904.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2022-07,3459,Sabine,"Midcontinent Independent Transmission System Operator, Inc..",55937,Entergy Texas Inc.,Orange,POINT (-93.878 30.0242),FarEast,Coastal,67036.6,55296.1,55893.4,0.0,0.0,0.0,0.0,1087852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087852.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2022-07,3460,Cedar Bayou,"Electric Reliability Council of Texas, Inc.",54888,NRG Texas Power LLC,Chambers,POINT (-94.9256 29.75),FarEast,Coastal,56610.0,55284.0,55284.0,0.0,0.0,0.0,0.0,1161164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1161164.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
